year,month,t2m_mean_C,precip_total_mm
1989,8,20.75943,1.0772648
1989,9,18.059418,1.7726929
1989,10,16.516632,1.3107301
1989,11,13.668243,3.8051662
1989,12,13.009186,1.4745744
1990,1,9.41568,2.6142092
1990,2,12.529572,1.3067273
1990,3,11.739044,1.3118745
1990,4,11.067047,8.633807
1990,5,16.314087,2.3315375
1990,6,17.090942,2.130509
1990,7,20.299774,1.3950362
1990,8,20.861359,1.1478438
1990,9,19.447357,1.1989596
1990,10,16.21048,4.5577993
1990,11,11.0711975,5.3867097
1990,12,7.471649,3.715509
1991,1,8.191559,2.576446
1991,2,7.67807,3.0942943
1991,3,10.884186,3.855896
1991,4,10.168732,4.6310425
1991,5,12.612213,5.543135
1991,6,16.20346,1.2226112
1991,7,19.154053,1.8631012
1991,8,20.91153,0.62179613
1991,9,19.968597,4.0660853
1991,10,13.464874,2.899934
1991,11,11.39975,6.772619
1991,12,9.302521,0.57888126
1992,1,6.992096,1.6090398
1992,2,8.459015,0.79860747
1992,3,9.698944,4.7081003
1992,4,11.050262,4.1618404
1992,5,15.618011,2.2670777
1992,6,15.365875,6.9683194
1992,7,19.56723,2.1377623
1992,8,20.322418,3.7250578
1992,9,17.52707,3.3042965
1992,10,12.99942,11.394091
1992,11,13.379852,3.422546
1992,12,10.288666,4.269603
1993,1,9.661835,0.36506635
1993,2,8.625275,2.256775
1993,3,10.114471,2.2350311
1993,4,11.49118,4.6546946
1993,5,14.66333,3.3992798
1993,6,17.251068,3.3844
1993,7,18.25116,2.704623
1993,8,19.45996,3.144833
1993,9,16.462982,3.2775848
1993,10,13.428741,3.6205318
1993,11,10.640717,1.7101281
1993,12,10.685089,6.1973667
1994,1,8.865509,4.335978
1994,2,9.629669,2.3595777
1994,3,11.411987,0.9611133
1994,4,10.59317,5.901709
1994,5,14.580109,2.3014038
1994,6,16.903015,2.0004218
1994,7,19.80597,1.7234805
1994,8,20.22995,1.1764497
1994,9,16.571869,4.9915195
1994,10,15.520782,3.4214015
1994,11,13.527008,2.402496
1994,12,10.923248,4.3594356
1995,1,9.913361,5.155176
1995,2,10.698334,4.09165
1995,3,10.583099,3.532791
1995,4,11.262604,2.203752
1995,5,15.152527,2.2781253
1995,6,16.986176,1.0189028
1995,7,20.363342,2.4474983
1995,8,20.404144,1.8909441
1995,9,16.852692,3.40195
1995,10,17.707275,1.1127472
1995,11,13.076813,3.0742671
1995,12,10.413116,3.6182396
1996,1,11.661407,1.7997755
1996,2,8.102203,6.4983478
1996,3,10.629242,2.5756807
1996,4,11.973602,2.7793887
1996,5,13.937073,2.5180817
1996,6,17.664398,2.4017327
1996,7,19.276062,2.7011843
1996,8,18.92331,3.7559512
1996,9,16.945343,3.8711574
1996,10,15.054413,3.3927884
1996,11,11.534515,8.059308
1996,12,9.80545,5.093001
1997,1,9.260468,3.9592738
1997,2,11.356781,0.9899137
1997,3,12.167633,0.5435941
1997,4,12.85788,1.1650084
1997,5,15.606232,4.798133
1997,6,17.113708,3.2661452
1997,7,18.337189,2.9613438
1997,8,20.81601,3.5461428
1997,9,19.302948,2.140808
1997,10,17.689362,2.293776
1997,11,13.115875,5.4580755
1997,12,10.5295105,3.787991
1998,1,10.471222,2.1621764
1998,2,10.880707,2.1972654
1998,3,11.908356,2.5074012
1998,4,11.114532,6.9389567
1998,5,14.749573,2.6672306
1998,6,17.44638,1.5891914
1998,7,18.85373,2.0286531
1998,8,20.192352,0.97198415
1998,9,18.494415,4.3586736
1998,10,14.572235,6.6436753
1998,11,11.525726,4.590609
1998,12,9.288483,2.7591717
1999,1,9.438995,3.2638576
1999,2,8.364288,4.3292966
1999,3,10.644989,3.2364006
1999,4,11.964325,3.476715
1999,5,15.575348,3.6041322
1999,6,16.8591,2.3574889
1999,7,19.668,2.5772157
1999,8,20.486145,1.3549805
1999,9,19.5065,4.394159
1999,10,15.759369,2.7580261
1999,11,10.690643,5.8673844
1999,12,9.642609,4.4548063
2000,1,7.52005,1.3359054
2000,2,10.584381,2.2117581
2000,3,10.032074,3.4357126
2000,4,11.682465,6.068807
2000,5,15.430359,2.2766175
2000,6,17.717041,1.8089297
2000,7,18.90921,2.6275694
2000,8,19.954498,1.9248961
2000,9,18.71579,2.9369364
2000,10,14.716339,5.397793
2000,11,11.534332,5.9417634
2000,12,12.08078,3.1700149
2001,1,10.378387,5.6259146
2001,2,9.464508,2.2232025
2001,3,12.837006,5.3295083
2001,4,11.546234,3.8120234
2001,5,14.517822,2.01187
2001,6,17.581635,1.5850067
2001,7,18.962555,3.4137726
2001,8,20.337341,1.9020143
2001,9,17.496857,2.1095295
2001,10,17.92099,2.8175352
2001,11,10.408112,4.8004127
2001,12,7.500519,1.3156904
2002,1,10.596283,1.8691984
2002,2,10.714264,3.5991654
2002,3,11.455109,1.216127
2002,4,11.666229,2.7889223
2002,5,13.831818,4.315943
2002,6,16.354889,2.3002596
2002,7,17.840149,2.146149
2002,8,18.50064,3.8940365
2002,9,18.016266,3.214258
2002,10,16.289398,3.631204
2002,11,13.1684265,3.7590053
2002,12,12.014008,5.1330624
2003,1,8.637543,5.6266823
2003,2,8.894379,3.445819
2003,3,12.597687,1.4705628
2003,4,13.567413,1.9737247
2003,5,14.763092,3.6598206
2003,6,19.376495,1.8882784
2003,7,20.06717,1.9786835
2003,8,22.53833,2.278513
2003,9,19.207428,3.0624418
2003,10,14.471588,5.4794364
2003,11,12.755707,4.9598737
2003,12,10.115692,3.7479277
2004,1,10.144684,4.7168727
2004,2,8.4374695,3.3081052
2004,3,9.212006,4.123303
2004,4,11.22641,4.1305566
2004,5,13.742828,3.6148074
2004,6,18.45517,1.2432069
2004,7,19.010437,1.9245152
2004,8,20.256897,3.0307775
2004,9,19.107147,2.628327
2004,10,16.395233,3.9417264
